	chr	pos	height	start	end
0	1.0	22000.0	7.56683806899634e-09	14000.0	30000.0
1	1.0	189000.0	5.612006710036563e-09	182000.0	196000.0
2	1.0	651000.0	7.784913531186233e-10	649000.0	654000.0
3	1.0	885000.0	3.152280317787385e-06	847000.0	943000.0
4	1.0	997000.0	2.3035126831353135e-06	972000.0	1028000.0
5	1.0	1217000.0	1.1851572912099e-06	1188000.0	1243000.0
6	1.0	1306000.0	9.06727746642351e-06	1269000.0	1337000.0
7	1.0	1644000.0	5.987163386815717e-07	1608000.0	1666000.0
8	1.0	1833000.0	1.537201953622426e-05	1795000.0	1875000.0
9	1.0	2150000.0	2.3729027660281535e-05	2103000.0	2189000.0
10	1.0	2476000.0	8.329599318748757e-06	2435000.0	2527000.0
11	1.0	2659000.0	7.322828538745609e-07	2651000.0	2665000.0
12	1.0	2966000.0	4.134654973737482e-06	2888000.0	3002000.0
13	1.0	3261000.0	5.6685823062791514e-08	3235000.0	3286000.0
14	1.0	3368000.0	5.98314210466599e-07	3328000.0	3392000.0
15	1.0	3461000.0	1.027029609340108e-05	3423000.0	3600000.0
16	1.0	3735000.0	1.0442021965531418e-06	3696000.0	3800000.0
17	1.0	4451000.0	9.961285938930092e-09	4448000.0	4455000.0
18	1.0	4613000.0	7.218044735289538e-07	4595000.0	4632000.0
19	1.0	4708000.0	2.5284706358635536e-07	4694000.0	4776000.0
20	1.0	4977000.0	4.358834205846193e-08	4970000.0	4986000.0
21	1.0	5149000.0	2.509327949274969e-07	5125000.0	5161000.0
22	1.0	5202000.0	6.686684240926713e-07	5177000.0	5220000.0
23	1.0	5303000.0	3.577789219543182e-07	5289000.0	5320000.0
24	1.0	5417000.0	1.0760455369955111e-07	5399000.0	5441000.0
25	1.0	5890000.0	5.589884073222898e-08	5869000.0	5901000.0
26	1.0	6051000.0	2.0165580029292335e-06	6021000.0	6088000.0
27	1.0	6281000.0	6.896535891250861e-06	6187000.0	6325000.0
28	1.0	6468000.0	1.0004396794744581e-06	6437000.0	6505000.0
29	1.0	6580000.0	5.6494170128548984e-06	6543000.0	6694000.0
30	1.0	6717000.0	7.89306635464663e-09	6714000.0	6720000.0
31	1.0	6765000.0	4.9289488929623234e-08	6756000.0	6797000.0
32	1.0	6838000.0	6.460607627544399e-07	6812000.0	6861000.0
33	1.0	7350000.0	3.0120182830178304e-05	7315000.0	7387000.0
34	1.0	7822000.0	3.9879604470936386e-09	7816000.0	7827000.0
35	1.0	7879000.0	3.234907526521031e-07	7857000.0	7898000.0
36	1.0	8017000.0	2.7403146685665046e-06	7943000.0	8040000.0
37	1.0	8109000.0	4.566897363017303e-06	8073000.0	8147000.0
38	1.0	8207000.0	6.924141554700291e-08	8196000.0	8218000.0
39	1.0	8255000.0	4.949722356963784e-07	8225000.0	8272000.0
40	1.0	8395000.0	1.336389082398258e-06	8370000.0	8427000.0
41	1.0	8765000.0	7.06594109879979e-07	8741000.0	8793000.0
42	1.0	8942000.0	1.0476690268748387e-05	8858000.0	9002000.0
43	1.0	9269000.0	2.132596511260392e-06	9231000.0	9312000.0
44	1.0	9343000.0	8.148851046249539e-08	9323000.0	9353000.0
45	1.0	9468000.0	4.072679892612223e-06	9432000.0	9500000.0
46	1.0	9694000.0	1.860324390853846e-06	9666000.0	9716000.0
47	1.0	9971000.0	5.7516574619951825e-06	9865000.0	10006000.0
48	1.0	10079000.0	4.718802579307419e-07	10057000.0	10100000.0
49	1.0	10258000.0	1.2316904731747787e-05	10219000.0	10302000.0
50	1.0	10491000.0	8.466543379985035e-06	10438000.0	10543000.0
51	1.0	10725000.0	6.126327333423716e-07	10709000.0	10744000.0
52	1.0	11096000.0	1.1675653728540508e-05	11022000.0	11160000.0
53	1.0	11325000.0	6.447011988313851e-06	11292000.0	11357000.0
54	1.0	11404000.0	5.2634330661915e-08	11391000.0	11415000.0
55	1.0	11722000.0	1.703248388519869e-06	11681000.0	11837000.0
56	1.0	11980000.0	8.571741795418432e-06	11942000.0	12015000.0
57	1.0	12083000.0	2.5189141868105305e-07	12058000.0	12101000.0
58	1.0	12223000.0	6.345182157350876e-06	12182000.0	12266000.0
59	1.0	12615000.0	7.41146634078636e-06	12498000.0	12765000.0
60	1.0	13187000.0	3.6217646819261944e-10	13186000.0	13188000.0
61	1.0	13364000.0	3.4340340371691884e-09	13357000.0	13371000.0
62	1.0	13517000.0	4.628318662280856e-09	13491000.0	13535000.0
63	1.0	13696000.0	4.701831951788964e-11	13693000.0	13698000.0
64	1.0	13723000.0	3.506279160700496e-09	13719000.0	13727000.0
65	1.0	14053000.0	7.138016955729793e-06	13967000.0	14084000.0
66	1.0	14157000.0	1.884025556285472e-06	14139000.0	14175000.0
67	1.0	14435000.0	2.878244359366006e-07	14405000.0	14463000.0
68	1.0	14602000.0	3.802531700280354e-07	14591000.0	14662000.0
69	1.0	14782000.0	9.953785879126204e-06	14730000.0	14933000.0
70	1.0	15243000.0	1.3486833845453954e-06	15225000.0	15271000.0
71	1.0	15446000.0	3.959225055724565e-09	15444000.0	15448000.0
72	1.0	15573000.0	6.178522853760415e-07	15548000.0	15596000.0
73	1.0	15675000.0	4.8336333330814535e-06	15639000.0	15708000.0
74	1.0	15918000.0	1.1286194632164443e-06	15838000.0	15944000.0
75	1.0	16002000.0	1.4867247646341534e-06	15972000.0	16028000.0
76	1.0	16165000.0	6.0186916116306955e-06	16063000.0	16202000.0
77	1.0	16325000.0	8.921568984155227e-08	16315000.0	16331000.0
78	1.0	16504000.0	1.060821443275782e-05	16468000.0	16556000.0
79	1.0	16687000.0	4.2430413041639955e-06	16662000.0	16730000.0
80	1.0	16758000.0	1.0364532762796986e-06	16733000.0	16780000.0
81	1.0	17000000.0	1.2724122919425347e-08	16999000.0	17001000.0
82	1.0	17320000.0	6.5872148232386095e-06	17233000.0	17362000.0
83	1.0	17531000.0	1.1489178614013851e-05	17487000.0	17597000.0
84	1.0	17856000.0	7.251637514064137e-06	17780000.0	17919000.0
85	1.0	18205000.0	4.883861224888511e-06	18172000.0	18253000.0
86	1.0	18443000.0	2.1526881955224497e-07	18431000.0	18455000.0
87	1.0	18897000.0	1.051190982416841e-06	18871000.0	18938000.0
88	1.0	19271000.0	2.2814379120210413e-06	19150000.0	19389000.0
89	1.0	19610000.0	5.560393973950953e-06	19557000.0	19652000.0
90	1.0	19822000.0	2.235586319932084e-06	19792000.0	19855000.0
91	1.0	19976000.0	8.162173959582993e-06	19922000.0	20020000.0
92	1.0	20196000.0	5.435292400679508e-06	20100000.0	20231000.0
93	1.0	20752000.0	1.1708367278572643e-06	20731000.0	20808000.0
94	1.0	20927000.0	2.2637595893230195e-06	20900000.0	20966000.0
95	1.0	21033000.0	8.87601834250984e-06	20999000.0	21078000.0
96	1.0	21518000.0	3.0681228147251945e-05	21464000.0	21566000.0
97	1.0	21687000.0	6.561124103407031e-06	21648000.0	21715000.0
98	1.0	22120000.0	1.3623861403513635e-05	22075000.0	22162000.0
99	1.0	22269000.0	4.386879609968787e-06	22245000.0	22292000.0
100	1.0	22378000.0	1.6828898897629412e-05	22346000.0	22416000.0
101	1.0	22486000.0	1.1312614031635539e-07	22478000.0	22495000.0
102	1.0	22755000.0	7.752365866084901e-07	22732000.0	22777000.0
103	1.0	23025000.0	1.2393683996349001e-05	22975000.0	23086000.0
104	1.0	23325000.0	1.574483970891106e-06	23289000.0	23359000.0
