	chr	pos	height	start	end
0	1.0	29000.0	1.8889605618174047e-07	13000.0	47000.0
1	1.0	132000.0	7.027565269226677e-09	127000.0	136000.0
2	1.0	193000.0	7.024420611605923e-08	184000.0	201000.0
3	1.0	311000.0	5.033529008853447e-10	309000.0	326000.0
4	1.0	657000.0	3.2962566113790475e-08	652000.0	662000.0
5	1.0	923000.0	1.0255763902419244e-05	865000.0	945000.0
6	1.0	990000.0	7.0844393685378235e-06	975000.0	1029000.0
7	1.0	1204000.0	3.2637350935170665e-06	1187000.0	1234000.0
8	1.0	1306000.0	3.0857838504107476e-05	1269000.0	1352000.0
9	1.0	1521000.0	5.024458507078805e-06	1508000.0	1533000.0
10	1.0	1643000.0	6.745720073696856e-06	1611000.0	1656000.0
11	1.0	1829000.0	7.916877906212811e-05	1789000.0	1869000.0
12	1.0	1971000.0	5.637262150863452e-06	1954000.0	1995000.0
13	1.0	2152000.0	0.00014354000800019894	2109000.0	2186000.0
14	1.0	2322000.0	4.151575933414912e-06	2305000.0	2339000.0
15	1.0	2474000.0	1.690868943193011e-05	2442000.0	2516000.0
16	1.0	2662000.0	1.4083735765439474e-05	2646000.0	2674000.0
17	1.0	2904000.0	7.072297989691998e-07	2881000.0	2910000.0
18	1.0	2974000.0	1.0477886836914178e-05	2947000.0	3003000.0
19	1.0	3227000.0	6.43461202121959e-08	3221000.0	3233000.0
20	1.0	3357000.0	1.9912543543386778e-06	3309000.0	3380000.0
21	1.0	3462000.0	3.661416433423116e-05	3431000.0	3578000.0
22	1.0	3752000.0	8.146486513540586e-06	3707000.0	3793000.0
23	1.0	4143000.0	2.2517188208195087e-06	4125000.0	4181000.0
24	1.0	4280000.0	1.7056167757532708e-06	4265000.0	4315000.0
25	1.0	4465000.0	7.722053063328963e-07	4451000.0	4480000.0
26	1.0	4613000.0	7.487945532813813e-06	4590000.0	4639000.0
27	1.0	4702000.0	1.2627891211682169e-07	4699000.0	4707000.0
28	1.0	4739000.0	5.922798202146735e-07	4721000.0	4754000.0
29	1.0	4908000.0	4.357021249853712e-06	4881000.0	4929000.0
30	1.0	5054000.0	6.919582045396716e-07	5032000.0	5061000.0
31	1.0	5195000.0	1.343992974623019e-05	5157000.0	5217000.0
32	1.0	5302000.0	3.3814427417886515e-06	5281000.0	5315000.0
33	1.0	5394000.0	1.0463004304999404e-06	5375000.0	5413000.0
34	1.0	5797000.0	6.224178469952763e-08	5795000.0	5801000.0
35	1.0	5886000.0	6.224861709425371e-07	5875000.0	5900000.0
36	1.0	5999000.0	1.209843161245664e-09	5997000.0	6000000.0
37	1.0	6050000.0	1.9835870565616793e-05	6005000.0	6091000.0
38	1.0	6276000.0	3.568287929938658e-05	6242000.0	6311000.0
39	1.0	6458000.0	1.201168446883652e-05	6433000.0	6479000.0
40	1.0	6647000.0	1.4787622025946809e-05	6569000.0	6698000.0
41	1.0	6838000.0	1.0922651303454357e-05	6733000.0	6865000.0
42	1.0	7012000.0	4.20741681811239e-08	7006000.0	7017000.0
43	1.0	7257000.0	2.715692494108081e-06	7240000.0	7274000.0
44	1.0	7350000.0	0.00014897491487155513	7321000.0	7381000.0
45	1.0	7433000.0	1.5622773144117768e-07	7428000.0	7442000.0
46	1.0	7741000.0	2.512098360333766e-08	7736000.0	7745000.0
47	1.0	7817000.0	1.8537302534282614e-07	7813000.0	7823000.0
48	1.0	8020000.0	3.0199972222910505e-05	7952000.0	8046000.0
49	1.0	8104000.0	2.8701432582748114e-05	8080000.0	8133000.0
50	1.0	8210000.0	1.458421506121044e-06	8188000.0	8239000.0
51	1.0	8413000.0	5.80712166127599e-07	8406000.0	8420000.0
52	1.0	8766000.0	5.01856260408507e-06	8743000.0	8797000.0
53	1.0	8945000.0	0.0001042737091125709	8843000.0	8987000.0
54	1.0	9157000.0	2.9038756583229265e-06	9143000.0	9174000.0
55	1.0	9280000.0	2.4294990465430743e-05	9241000.0	9329000.0
56	1.0	9466000.0	1.8759589790848085e-05	9444000.0	9495000.0
57	1.0	9579000.0	1.6125033862961304e-07	9569000.0	9590000.0
58	1.0	9684000.0	6.843734187323719e-06	9663000.0	9706000.0
59	1.0	9970000.0	3.8984571510103976e-05	9867000.0	10010000.0
60	1.0	10084000.0	1.0099681114048698e-05	10047000.0	10116000.0
61	1.0	10260000.0	5.70253324238704e-05	10218000.0	10307000.0
62	1.0	10494000.0	6.305164822204613e-05	10440000.0	10552000.0
63	1.0	11084000.0	6.595080636855593e-05	11041000.0	11152000.0
64	1.0	11323000.0	5.698705514708656e-05	11288000.0	11354000.0
65	1.0	11713000.0	7.662897608273107e-06	11664000.0	11823000.0
66	1.0	11858000.0	6.735499977001719e-07	11849000.0	11868000.0
